[10/Jul/2026:12:23:13 +0000] - 200 200 - GET http pihole.local "/admin/login" [Client 192.168.65.1] [Length 3181] [Gzip 3.30] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "-"
[10/Jul/2026:12:23:13 +0000] - 401 401 - GET http pihole.local "/api/auth" [Client 192.168.65.1] [Length 122] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:23:13 +0000] - 200 200 - GET http pihole.local "/api/info/login" [Client 192.168.65.1] [Length 59] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:23:18 +0000] - 401 401 - POST http pihole.local "/api/auth" [Client 192.168.65.1] [Length 123] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:23:22 +0000] - 401 401 - POST http pihole.local "/api/auth" [Client 192.168.65.1] [Length 123] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:25:39 +0000] - 200 200 - GET http pihole.local "/admin/login" [Client 192.168.65.1] [Length 3181] [Gzip 3.30] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "-"
[10/Jul/2026:12:25:39 +0000] - 401 401 - GET http pihole.local "/api/auth" [Client 192.168.65.1] [Length 123] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:25:39 +0000] - 200 200 - GET http pihole.local "/api/info/login" [Client 192.168.65.1] [Length 59] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:25:42 +0000] - 200 200 - POST http pihole.local "/api/auth" [Client 192.168.65.1] [Length 176] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:25:42 +0000] - 200 200 - GET http pihole.local "/admin/" [Client 192.168.65.1] [Length 7530] [Gzip 4.90] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
